,state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
0,37,North Carolina,1,Alamance County,1985,0.19,0.0,0.19,3.39,0.0,3.39,3.58,0.0,3.58,3.13,6.71,1.74,0.00,1.74,0.00,-
1,37,North Carolina,1,Alamance County,1990,0.06,0.0,0.06,2.6,0.0,2.6,2.66,0.0,2.66,6.42,9.08,1.00,0.00,1.00,0.00,8
2,37,North Carolina,1,Alamance County,1995,0.57,0.0,0.57,4.68,0.0,4.68,5.25,0.0,5.25,7.33,12.58,2.52,0.00,2.52,0.00,83
3,37,North Carolina,1,Alamance County,2000,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.0,0.23,-,-,-,-,-,-,-
4,37,North Carolina,1,Alamance County,2005,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.14,-,-,-,-,-,-,-
5,37,North Carolina,1,Alamance County,2010,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.04,-,-,-,-,-,-,-
6,37,North Carolina,1,Alamance County,2015,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.05,-,-,-,-,-,-,-
7,37,North Carolina,3,Alexander County,1985,0.2,0.0,0.2,0.45,0.0,0.45,0.65,0.0,0.65,0.00,0.65,0.04,0.00,0.04,0.00,-
8,37,North Carolina,3,Alexander County,1990,0.05,0.0,0.05,0.45,0.0,0.45,0.5,0.0,0.5,0.12,0.62,0.00,0.00,0.00,0.00,1
9,37,North Carolina,3,Alexander County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.03,0.00,0.03,0.00,9
10,37,North Carolina,3,Alexander County,2000,0.0,0.0,0.0,0.37,0.0,0.37,0.37,0.0,0.37,-,-,-,-,-,-,-
11,37,North Carolina,3,Alexander County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
12,37,North Carolina,3,Alexander County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
13,37,North Carolina,3,Alexander County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
14,37,North Carolina,5,Alleghany County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
15,37,North Carolina,5,Alleghany County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
16,37,North Carolina,5,Alleghany County,1995,0.01,0.0,0.01,0.08,0.0,0.08,0.09,0.0,0.09,0.00,0.09,0.02,0.00,0.02,0.00,4
17,37,North Carolina,5,Alleghany County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
18,37,North Carolina,5,Alleghany County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
19,37,North Carolina,5,Alleghany County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
20,37,North Carolina,5,Alleghany County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
21,37,North Carolina,7,Anson County,1985,0.03,0.0,0.03,0.81,0.0,0.81,0.84,0.0,0.84,2.43,3.27,0.08,0.00,0.08,0.00,-
22,37,North Carolina,7,Anson County,1990,0.01,0.0,0.01,8.96,0.0,8.96,8.97,0.0,8.97,0.78,9.75,0.33,0.00,0.33,0.00,3
23,37,North Carolina,7,Anson County,1995,2.55,0.0,2.55,2.02,0.0,2.02,4.57,0.0,4.57,1.68,6.25,1.25,0.00,1.25,0.00,7
24,37,North Carolina,7,Anson County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
25,37,North Carolina,7,Anson County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
26,37,North Carolina,7,Anson County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
27,37,North Carolina,7,Anson County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
28,37,North Carolina,9,Ashe County,1985,0.01,0.0,0.01,0.25,0.0,0.25,0.26,0.0,0.26,0.00,0.26,0.15,0.00,0.15,0.00,-
29,37,North Carolina,9,Ashe County,1990,0.01,0.0,0.01,0.36,0.0,0.36,0.37,0.0,0.37,0.07,0.44,0.03,0.00,0.03,0.00,1
30,37,North Carolina,9,Ashe County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.01,0.00,0.01,0.00,3
31,37,North Carolina,9,Ashe County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
32,37,North Carolina,9,Ashe County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
33,37,North Carolina,9,Ashe County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
